ÀÏÀÚ,¼Û±Ý,,ÇöÂû,,T/C»ç½Ç¶§,¸Å¸Å±âÁØÀ²,ÇÑ±¹ÀºÇà±âÁØÀ²,´ë¹ÌÈ¯»êÀ²
,º¸³»½Ç¶§,¹ÞÀ¸½Ç¶§,»ç½Ç¶§,ÆÄ½Ç¶§,,(ÀüÀÏ´ëºñ),,
2018.08.06,"1,021.32","1,001.70","1,029.21",993.81,"1,023.64","1,011.51»ó½Â2.30","1,014.16",0.89
2018.08.03,"1,018.99",999.43,"1,026.87",991.55,"1,021.32","1,009.21ÇÏ¶ô-2.62","1,005.60",0.89
2018.08.02,"1,021.64","1,002.02","1,029.53",994.13,"1,023.97","1,011.83»ó½Â13.08","1,002.51",0.89
2018.08.01,"1,008.43",989.07,"1,016.22",981.28,"1,010.73",998.75ÇÏ¶ô-4.84,"1,000.22",0.89
2018.07.31,"1,013.32",993.86,"1,021.15",986.03,"1,015.63","1,003.59ÇÏ¶ô-4.69","1,005.95",0.89
2018.07.30,"1,018.06",998.5,"1,025.92",990.64,"1,020.37","1,008.28»ó½Â2.34","1,009.46",0.9
2018.07.27,"1,015.69",996.19,"1,023.54",988.34,"1,018.01","1,005.94ÇÏ¶ô-5.99","1,006.52",0.89
2018.07.26,"1,021.74","1,002.12","1,029.63",994.23,"1,024.07","1,011.93»ó½Â0.43","1,016.73",0.9
2018.07.25,"1,021.31","1,001.69","1,029.20",993.8,"1,023.63","1,011.50ÇÏ¶ô-8.46","1,020.63",0.89
2018.07.24,"1,029.85","1,010.07","1,037.80","1,002.12","1,032.19","1,019.96ÇÏ¶ô-0.93","1,012.79",0.89
2018.07.23,"1,030.79","1,010.99","1,038.75","1,003.03","1,033.14","1,020.89»ó½Â11.29","1,019.91",0.9
2018.07.20,"1,019.39",999.81,"1,027.26",991.94,"1,021.71","1,009.60»ó½Â2.15","1,005.91",0.88
2018.07.19,"1,017.22",997.68,"1,025.08",989.82,"1,019.53","1,007.45»ó½Â5.85","1,000.31",0.88
2018.07.18,"1,011.31",991.89,"1,019.12",984.08,"1,013.61","1,001.60ÇÏ¶ô-0.19",995.84,0.88
2018.07.17,"1,011.50",992.08,"1,019.32",984.26,"1,013.81","1,001.79ÇÏ¶ô-0.87","1,004.63",0.89
2018.07.16,"1,012.38",992.94,"1,020.20",985.12,"1,014.69","1,002.66ÇÏ¶ô-0.97",999.07,0.88
2018.07.13,"1,013.36",993.9,"1,021.19",986.07,"1,015.67","1,003.63»ó½Â1.14","1,001.55",0.88
2018.07.12,"1,012.21",992.77,"1,020.03",984.95,"1,014.51","1,002.49ÇÏ¶ô-8.12","1,001.16",0.88
2018.07.11,"1,020.41","1,000.81","1,028.29",992.93,"1,022.73","1,010.61»ó½Â6.29","1,004.28",0.89
2018.07.10,"1,014.06",994.58,"1,021.89",986.75,"1,016.37","1,004.32ÇÏ¶ô-3.28","1,003.20",0.89
2018.07.09,"1,017.37",997.83,"1,025.23",989.97,"1,019.69","1,007.60ÇÏ¶ô-1.35","1,012.22",0.9
2018.07.06,"1,018.73",999.17,"1,026.60",991.3,"1,021.05","1,008.95ÇÏ¶ô-3.07","1,010.85",0.9
2018.07.05,"1,021.83","1,002.21","1,029.73",994.31,"1,024.16","1,012.02»ó½Â1.89","1,009.55",0.9
2018.07.04,"1,019.92","1,000.34","1,027.80",992.46,"1,022.25","1,010.13»ó½Â4.90","1,014.34",0.9
2018.07.03,"1,014.98",995.48,"1,022.82",987.64,"1,017.29","1,005.23ÇÏ¶ô-5.52","1,008.26",0.9
2018.07.02,"1,020.55","1,000.95","1,028.43",993.07,"1,022.87","1,010.75»ó½Â5.14","1,009.26",0.9
2018.06.29,"1,015.36",995.86,"1,023.20",988.02,"1,017.67","1,005.61","1,014.79",0.9
